Month,Team1,Team2,Team3,Team4,Team5,Team6,Team7
January  ,17,18,18,19,17,16,19
February  ,17,15,16,16,17,16,15
March  ,17,18,19,16,17,19,18
April  ,18,17,15,19,17,17,17
May  ,16,19,19,17,18,18,17
June  ,18,16,17,18,18,15,18
July  ,17,18,19,17,17,18,18
August  ,19,17,16,18,18,19,17
September  ,16,18,18,17,17,16,18
October  ,19,16,18,17,19,18,17
November  ,17,19,17,17,14,17,19
December  ,18,17,17,18,19,19,16
